id,start,end,event_type,event_priority,hyper_count,vul_count,ip1,ip2,ip3,ip4,ip5,ip6,ip_order,ty1,ty2,ty3,ty4,ty5,ty6,ty_order
227,06:09.0,08:00.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
228,06:37.0,21:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
229,06:37.0,06:37.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
230,06:37.0,06:37.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
231,07:01.0,22:00.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
232,10:45.0,22:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
233,13:16.0,26:00.0,detect,0,6,0,10.10.13.23,192.168.20.94,192.168.20.94,10.10.13.23,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.94192.168.20.9410.10.13.23192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
234,13:16.0,13:16.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
235,13:16.0,13:16.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
236,13:16.0,13:16.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
237,15:05.0,28:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
238,15:05.0,15:05.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
239,15:05.0,15:05.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
